timestamp_epoch,seq,byte_hex,byte_bin_msb,byte_bin_lsb_temporal,uart_frame_reconstruido
1776099559.911341,292,18,00011000,00011000,0 00011000 1
1776099559.911368,293,E0,11100000,00000111,0 00000111 1
1776099559.911395,294,18,00011000,00011000,0 00011000 1
1776099559.911422,295,E0,11100000,00000111,0 00000111 1
1776099559.911448,296,98,10011000,00011001,0 00011001 1
1776099559.918564,297,1E,00011110,01111000,0 01111000 1
1776099559.918675,298,18,00011000,00011000,0 00011000 1
1776099559.918713,299,06,00000110,01100000,0 01100000 1
1776099559.918748,300,FE,11111110,01111111,0 01111111 1
1776099569.936480,301,00,00000000,00000000,0 00000000 1
1776099569.936585,302,18,00011000,00011000,0 00011000 1
1776099569.936620,303,E0,11100000,00000111,0 00000111 1
1776099569.936652,304,18,00011000,00011000,0 00011000 1
1776099569.936682,305,E0,11100000,00000111,0 00000111 1
1776099569.936712,306,98,10011000,00011001,0 00011001 1
1776099569.936740,307,E0,11100000,00000111,0 00000111 1
1776099569.936768,308,98,10011000,00011001,0 00011001 1
1776099569.936796,309,E0,11100000,00000111,0 00000111 1
1776099569.936824,310,18,00011000,00011000,0 00011000 1
1776099569.936853,311,E0,11100000,00000111,0 00000111 1
1776099569.936881,312,18,00011000,00011000,0 00011000 1
1776099569.936908,313,E0,11100000,00000111,0 00000111 1
1776099569.936936,314,18,00011000,00011000,0 00011000 1
1776099569.936965,315,E0,11100000,00000111,0 00000111 1
1776099569.936992,316,98,10011000,00011001,0 00011001 1
1776099569.944576,317,1E,00011110,01111000,0 01111000 1
1776099569.944674,318,18,00011000,00011000,0 00011000 1
1776099569.944729,319,06,00000110,01100000,0 01100000 1
1776099569.944779,320,FE,11111110,01111111,0 01111111 1
1776099579.960534,321,00,00000000,00000000,0 00000000 1
1776099579.960639,322,18,00011000,00011000,0 00011000 1
1776099579.960674,323,E0,11100000,00000111,0 00000111 1
1776099579.960704,324,18,00011000,00011000,0 00011000 1
1776099579.960733,325,E0,11100000,00000111,0 00000111 1
1776099579.960762,326,98,10011000,00011001,0 00011001 1
1776099579.960789,327,E0,11100000,00000111,0 00000111 1
1776099579.960817,328,98,10011000,00011001,0 00011001 1
1776099579.960845,329,E0,11100000,00000111,0 00000111 1
1776099579.960872,330,18,00011000,00011000,0 00011000 1
1776099579.960900,331,E0,11100000,00000111,0 00000111 1
1776099579.960928,332,18,00011000,00011000,0 00011000 1
1776099579.960956,333,E0,11100000,00000111,0 00000111 1
1776099579.960983,334,18,00011000,00011000,0 00011000 1
1776099579.961011,335,E0,11100000,00000111,0 00000111 1
1776099579.961040,336,98,10011000,00011001,0 00011001 1
1776099579.968629,337,1E,00011110,01111000,0 01111000 1
1776099579.968732,338,18,00011000,00011000,0 00011000 1
1776099579.968796,339,06,00000110,01100000,0 01100000 1
1776099579.968853,340,FE,11111110,01111111,0 01111111 1
1776099589.984584,341,00,00000000,00000000,0 00000000 1
1776099589.984699,342,18,00011000,00011000,0 00011000 1
1776099589.984733,343,E0,11100000,00000111,0 00000111 1
1776099589.984764,344,18,00011000,00011000,0 00011000 1
1776099589.984794,345,E0,11100000,00000111,0 00000111 1
1776099589.984823,346,98,10011000,00011001,0 00011001 1
1776099589.984851,347,E0,11100000,00000111,0 00000111 1
