timestamp_epoch,timestamp_data_hora,seq,byte_hex,byte_bin_msb,byte_bin_lsb_temporal,uart_frame_reconstruido
1776104111.690344,13/04/2026 15:15:11,320,FE,11111110,01111111,0 01111111 1
1776104121.701206,13/04/2026 15:15:21,321,00,00000000,00000000,0 00000000 1
1776104121.701364,13/04/2026 15:15:21,322,18,00011000,00011000,0 00011000 1
1776104121.701418,13/04/2026 15:15:21,323,E0,11100000,00000111,0 00000111 1
1776104121.701465,13/04/2026 15:15:21,324,18,00011000,00011000,0 00011000 1
1776104121.701508,13/04/2026 15:15:21,325,E0,11100000,00000111,0 00000111 1
1776104121.701550,13/04/2026 15:15:21,326,98,10011000,00011001,0 00011001 1
1776104121.701595,13/04/2026 15:15:21,327,E0,11100000,00000111,0 00000111 1
1776104121.701637,13/04/2026 15:15:21,328,98,10011000,00011001,0 00011001 1
1776104121.701678,13/04/2026 15:15:21,329,E0,11100000,00000111,0 00000111 1
1776104121.701719,13/04/2026 15:15:21,330,18,00011000,00011000,0 00011000 1
1776104121.701762,13/04/2026 15:15:21,331,E0,11100000,00000111,0 00000111 1
